"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name"
"GE","Delhi","16","4","2014","4","0","4","4","Ravi Kumar Gupta","M","IND","20028","GEN","969812","1490147","NEW DELHI","GEN","","29","65.08","2.07","yes","13940","1.44","2.86","GEDL15355","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","4","2014","4","0","4","5","Solomon George","M","BSP","6088","GEN","969812","1490147","NEW DELHI","GEN","","29","65.08","0.63","yes","499","0.05","2.86","GEDL15353","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","4","2014","4","0","4","6","None of the above","NOT","NOTA","5589","NULL","969812","1490147","NEW DELHI","GEN","","29","65.08","0.58","yes","4329","0.45","2.86","","","5897","TRUE","","","","","","","","","FALSE","FALSE","",""
"GE","Delhi","16","4","2014","4","0","4","7","Rubina Khan","F","IND","1260","GEN","969812","1490147","NEW DELHI","GEN","","29","65.08","0.13","yes","351","0.04","2.86","GEDL15342","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","4","2014","4","0","4","8","Biswajit Ranjit Chatterjee","M","AITC","909","GEN","969812","1490147","NEW DELHI","GEN","","29","65.08","0.09","yes","22","0.00","2.86","GEDL15343","","18228","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","4","2014","4","0","4","9","Anjuman Agnihotri","M","IND","887","GEN","969812","1490147","NEW DELHI","GEN","","29","65.08","0.09","yes","25","0.00","2.86","GEDL15335","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","4","2014","4","0","4","10","Ghanshyam Dass","M","IND","862","SC","969812","1490147","NEW DELHI","GEN","","29","65.08","0.09","yes","175","0.02","2.86","GEDL80732","","10809","TRUE","3","IND","10809","NEW DELHI","TRUE","TRUE","0","FALSE","FALSE","TRUE","",""
"GE","Delhi","16","4","2014","4","0","4","11","Narendra Singh Rawat","M","IND","687","GEN","969812","1490147","NEW DELHI","GEN","","29","65.08","0.07","yes","25","0.00","2.86","GEDL15332","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","4","2014","4","0","4","12","Dal Chand","M","IND","662","SC","969812","1490147","NEW DELHI","GEN","","29","65.08","0.07","yes","80","0.01","2.86","GEDL15328","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","4","2014","4","0","4","13","Swadesh Ohri","M","ATBP","582","GEN","969812","1490147","NEW DELHI","GEN","","29","65.08","0.06","yes","50","0.01","2.86","GEDL15329","","992","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","4","2014","4","0","4","14","Ratheesh","M","IND","532","GEN","969812","1490147","NEW DELHI","GEN","","29","65.08","0.05","yes","4","0.00","2.86","GEDL15327","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","4","2014","4","0","4","15","Sunita Chaudhary","F","JKNPP","528","GEN","969812","1490147","NEW DELHI","GEN","","29","65.08","0.05","yes","29","0.00","2.86","GEDL80475","","4079","TRUE","2","UWF","8418","NEW DELHI","TRUE","FALSE","0","TRUE","FALSE","TRUE","",""
"GE","Delhi","16","4","2014","4","0","4","16","k p Sankaran Menon","M","IND","499","GEN","969812","1490147","NEW DELHI","GEN","","29","65.08","0.05","yes","55","0.01","2.86","GEDL15346","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","4","2014","4","0","4","17","Nikhil Sablania","M","IND","444","SC","969812","1490147","NEW DELHI","GEN","","29","65.08","0.05","yes","15","0.00","2.86","GEDL15350","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","4","2014","4","0","4","18","Harkrishan Das Nijhawan","M","IND","429","GEN","969812","1490147","NEW DELHI","GEN","","29","65.08","0.04","yes","41","0.00","2.86","GEDL80591","","10809","TRUE","2","IND","10809","NEW DELHI","TRUE","TRUE","0","FALSE","FALSE","TRUE","",""
"GE","Delhi","16","4","2014","4","0","4","19","Sujeet Jha","M","bjdi","388","GEN","969812","1490147","NEW DELHI","GEN","","29","65.08","0.04","yes","22","0.00","2.86","GEDL15344","","1940","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","4","2014","4","0","4","20","Lakshmi Narayan","M","BHBP","366","SC","969812","1490147","NEW DELHI","GEN","","29","65.08","0.04","yes","19","0.00","2.86","GEDL15352","","1365","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","4","2014","4","0","4","21","Dheeraj Puri","M","SHS","347","GEN","969812","1490147","NEW DELHI","GEN","","29","65.08","0.04","yes","49","0.01","2.86","GEDL15336","","18691","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","4","2014","4","0","4","22","Vishal Khosla","M","IND","298","GEN","969812","1490147","NEW DELHI","GEN","","29","65.08","0.03","yes","81","0.01","2.86","GEDL15345","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","4","2014","4","0","4","23","Devi Singh","M","RaJPa","217","GEN","969812","1490147","NEW DELHI","GEN","","29","65.08","0.02","yes","4","0.00","2.86","GEDL15338","","6567","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","4","2014","4","0","4","24","Padmaja Kandukuri","F","IND","213","GEN","969812","1490147","NEW DELHI","GEN","","29","65.08","0.02","yes","8","0.00","2.86","GEDL15330","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","4","2014","4","0","4","25","Meena Singla","F","PHRC","205","GEN","969812","1490147","NEW DELHI","GEN","","29","65.08","0.02","yes","2","0.00","2.86","GEDL15337","","6098","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","4","2014","4","0","4","26","Lukman Khan","M","IND","203","GEN","969812","1490147","NEW DELHI","GEN","","29","65.08","0.02","yes","4","0.00","2.86","GEDL80723","","10809","TRUE","2","IND","10809","NEW DELHI","TRUE","TRUE","0","FALSE","FALSE","TRUE","",""
"GE","Delhi","16","4","2014","4","0","4","27","Naveen Chandra","M","NADP","199","GEN","969812","1490147","NEW DELHI","GEN","","29","65.08","0.02","yes","13","0.00","2.86","GEDL15347","","5848","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","4","2014","4","0","4","28","Ved Prakash","M","IND","186","SC","969812","1490147","NEW DELHI","GEN","","29","65.08","0.02","yes","25","0.00","2.86","GEDL30493","","10809","TRUE","7","IND","10809","NEW DELHI","TRUE","TRUE","0","FALSE","FALSE","TRUE","",""
"GE","Delhi","16","4","2014","4","0","4","29","Pradeep Varma","M","BVLP","161","GEN","969812","1490147","NEW DELHI","GEN","","29","65.08","0.02","yes","3","0.00","2.86","GEDL15340","","18230","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","4","2014","4","0","4","30","Ramanuj Patel","M","SPP","158","GEN","969812","1490147","NEW DELHI","GEN","","29","65.08","0.02","yes","0","0.00","2.86","GEDL15333","","16962","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","5","2014","4","0","4","1","Udit Raj","M","BJP","629860","SC","1356036","2194343","NORTH WEST DELHI","SC","","14","61.80","46.45","no","106802","7.88","2.63","GEDL15366","","1605","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","5","2014","4","0","4","2","Rakhi Birla","F","AAAP","523058","SC","1356036","2194343","NORTH WEST DELHI","SC","","14","61.80","38.57","no","365590","26.96","2.63","GEDL15358","","13","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","5","2014","4","0","4","3","Krishna Tirath","F","INC","157468","SC","1356036","2194343","NORTH WEST DELHI","SC","","14","61.80","11.61","yes","135983","10.03","2.63","GEDL43606","","3482","TRUE","4","INC","3482","NORTH WEST  DELHI","FALSE","TRUE","2","FALSE","TRUE","TRUE","",""
"GE","Delhi","16","5","2014","4","0","4","4","Basant Panwar","M","BSP","21485","SC","1356036","2194343","NORTH WEST DELHI","SC","","14","61.80","1.58","yes","12659","0.93","2.63","GEDL15361","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","5","2014","4","0","4","5","None of the above","NOT","NOTA","8826","NULL","1356036","2194343","NORTH WEST DELHI","SC","","14","61.80","0.65","yes","5380","0.40","2.63","","","5897","TRUE","","","","","","","","","FALSE","FALSE","",""
"GE","Delhi","16","5","2014","4","0","4","6","Shailender Kumar","M","IND","3446","SC","1356036","2194343","NORTH WEST DELHI","SC","","14","61.80","0.25","yes","1167","0.09","2.63","GEDL15357","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","5","2014","4","0","4","7","Jodhraj Paharia","M","IND","2279","SC","1356036","2194343","NORTH WEST DELHI","SC","","14","61.80","0.17","yes","530","0.04","2.63","GEDL15369","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","5","2014","4","0","4","8","Inder Singh Sansi","M","Aa S P","1749","SC","1356036","2194343","NORTH WEST DELHI","SC","","14","61.80","0.13","yes","69","0.01","2.63","GEDL81009","","972","TRUE","2","IND","10809","NORTH WEST  DELHI","FALSE","FALSE","0","FALSE","FALSE","TRUE","",""
"GE","Delhi","16","5","2014","4","0","4","9","Dharamraj","M","BPC","1680","SC","1356036","2194343","NORTH WEST DELHI","SC","","14","61.80","0.12","yes","59","0.00","2.63","GEDL15368","","2013","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","5","2014","4","0","4","10","Ram Karan Sauran","M","IND","1621","SC","1356036","2194343","NORTH WEST DELHI","SC","","14","61.80","0.12","yes","37","0.00","2.63","GEDL15363","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","5","2014","4","0","4","11","Sunil Chhikara","M","IND","1584","SC","1356036","2194343","NORTH WEST DELHI","SC","","14","61.80","0.12","yes","477","0.04","2.63","GEDL15364","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","5","2014","4","0","4","12","Bhup Singh","M","IND","1107","SC","1356036","2194343","NORTH WEST DELHI","SC","","14","61.80","0.08","yes","441","0.03","2.63","GEDL15360","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","5","2014","4","0","4","13","Kamini Kaur","F","IND","666","SC","1356036","2194343","NORTH WEST DELHI","SC","","14","61.80","0.05","yes","4","0.00","2.63","GEDL15370","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","5","2014","4","0","4","14","Vijay Kumar","M","RPI(A)","662","SC","1356036","2194343","NORTH WEST DELHI","SC","","14","61.80","0.05","yes","117","0.01","2.63","GEDL15371","","12285","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","5","2014","4","0","4","15","Rajesh Kumar","M","RBHP","545","SC","1356036","2194343","NORTH WEST DELHI","SC","","14","61.80","0.04","yes","0","0.00","2.63","GEDL15367","","6440","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","6","2014","4","0","4","1","Parvesh Sahib Singh Verma","M","BJP","651395","GEN","1347971","2039410","WEST DELHI","GEN","","17","66.10","48.32","no","268586","19.93","3.03","GEDL84105","","1605","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","6","2014","4","0","4","2","Jarnail Singh","M","AAAP","382809","GEN","1347971","2039410","WEST DELHI","GEN","","17","66.10","28.40","no","189543","14.06","3.03","GEDL81608","","13","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","6","2014","4","0","4","3","Mahabal Mishra","M","INC","193266","GEN","1347971","2039410","WEST DELHI","GEN","","17","66.10","14.34","yes","108544","8.05","3.03","GEDL80773","","3482","TRUE","2","INC","3482","WEST  DELHI","FALSE","TRUE","1","FALSE","TRUE","TRUE","",""
"GE","Delhi","16","6","2014","4","0","4","4","Jarnail Singh","M","IND","84722","GEN","1347971","2039410","WEST DELHI","GEN","","17","66.10","6.29","yes","76015","5.64","3.03","GEDL81609","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","6","2014","4","0","4","5","Raj Pal Singh","M","BSP","8707","GEN","1347971","2039410","WEST DELHI","GEN","","17","66.10","0.65","yes","775","0.06","3.03","GEDL81616","","16651","TRUE","2","IND","10809","EAST DELHI","FALSE","FALSE","0","FALSE","FALSE","TRUE","",""
"GE","Delhi","16","6","2014","4","0","4","6","None of the above","NOT","NOTA","7932","NULL","1347971","2039410","WEST DELHI","GEN","","17","66.10","0.59","yes","1972","0.15","3.03","","","5897","TRUE","","","","","","","","","FALSE","FALSE","",""
"GE","Delhi","16","6","2014","4","0","4","7","Jarnail Singh","M","IND","5960","GEN","1347971","2039410","WEST DELHI","GEN","","17","66.10","0.44","yes","2336","0.17","3.03","GEDL81610","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","6","2014","4","0","4","8","Sunil Sourabh","M","IND","3624","GEN","1347971","2039410","WEST DELHI","GEN","","17","66.10","0.27","yes","546","0.04","3.03","GEDL15381","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","6","2014","4","0","4","9","Virender Mohan Vats","M","IND","3078","GEN","1347971","2039410","WEST DELHI","GEN","","17","66.10","0.23","yes","1424","0.11","3.03","GEDL15387","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","6","2014","4","0","4","10","Babu Singh Dukhiya","M","IND","1654","SC","1347971","2039410","WEST DELHI","GEN","","17","66.10","0.12","yes","666","0.05","3.03","GEDL15389","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","6","2014","4","0","4","11","Istak Khan","M","IND","988","GEN","1347971","2039410","WEST DELHI","GEN","","17","66.10","0.07","yes","183","0.01","3.03","GEDL15383","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","6","2014","4","0","4","12","Uday Kumar Singh Kushwaha","M","BMUP","805","GEN","1347971","2039410","WEST DELHI","GEN","","17","66.10","0.06","yes","102","0.01","3.03","GEDL15378","","1074","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","6","2014","4","0","4","13","Har Gobind Arora","M","SHS","703","GEN","1347971","2039410","WEST DELHI","GEN","","17","66.10","0.05","yes","52","0.00","3.03","GEDL80769","","18691","TRUE","2","IND","10809","WEST  DELHI","FALSE","FALSE","0","FALSE","FALSE","TRUE","",""
"GE","Delhi","16","6","2014","4","0","4","14","Dinesh Kumar Kushwaha","M","ABSP","651","GEN","1347971","2039410","WEST DELHI","GEN","","17","66.10","0.05","yes","193","0.01","3.03","GEBR1514","","136","TRUE","2","RKSP","12157","MUZAFFARPUR","FALSE","FALSE","0","TRUE","FALSE","TRUE","",""
"GE","Delhi","16","6","2014","4","0","4","15","Rakesh Kumar","M","bjdi","458","GEN","1347971","2039410","WEST DELHI","GEN","","17","66.10","0.03","yes","7","0.00","3.03","GEDL15377","","1940","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","6","2014","4","0","4","16","Charan Jeet Singh Khalsa","M","AIFB","451","GEN","1347971","2039410","WEST DELHI","GEN","","17","66.10","0.03","yes","36","0.00","3.03","GEDL15373","","3040","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","6","2014","4","0","4","17","Deepak Kumar","M","RJAP","415","SC","1347971","2039410","WEST DELHI","GEN","","17","66.10","0.03","yes","62","0.00","3.03","GEDL15380","","12088","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","6","2014","4","0","4","18","Karam Chand Lathwal","M","BPC","353","GEN","1347971","2039410","WEST DELHI","GEN","","17","66.10","0.03","yes","0","0.00","3.03","GEDL15376","","2013","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","7","2014","4","0","4","1","Ramesh Bidhuri","M","BJP","497980","GEN","1102410","1752748","SOUTH DELHI","GEN","","19","62.90","45.17","no","107000","9.71","2.94","GEDL81069","","1605","TRUE","2","BJP","1605","SOUTH DELHI","TRUE","TRUE","1","FALSE","FALSE","TRUE","",""
"GE","Delhi","16","7","2014","4","0","4","2","Col Devinder Sehrawat","M","AAAP","390980","GEN","1102410","1752748","SOUTH DELHI","GEN","","19","62.90","35.47","no","265767","24.11","2.94","GEDL15396","","13","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","7","2014","4","0","4","3","Ramesh Kumar","M","INC","125213","GEN","1102410","1752748","SOUTH DELHI","GEN","","19","62.90","11.36","yes","68464","6.21","2.94","GEDL81040","","3482","TRUE","2","INC","3482","SOUTH DELHI","TRUE","TRUE","1","FALSE","TRUE","TRUE","",""
"GE","Delhi","16","7","2014","4","0","4","4","Ruby Yadav","F","IND","56749","GEN","1102410","1752748","SOUTH DELHI","GEN","","19","62.90","5.15","yes","45876","4.16","2.94","GEDL15408","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","7","2014","4","0","4","5","Sanjay Kumar Rai","M","BSP","10873","GEN","1102410","1752748","SOUTH DELHI","GEN","","19","62.90","0.99","yes","6398","0.58","2.94","GEDL15405","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","7","2014","4","0","4","6","Shrichand Tanwar","M","CPI","4475","GEN","1102410","1752748","SOUTH DELHI","GEN","","19","62.90","0.41","yes","465","0.04","2.94","GEDL81111","","2444","TRUE","2","CPI","2444","SOUTH DELHI","TRUE","TRUE","0","FALSE","FALSE","TRUE","",""
"GE","Delhi","16","7","2014","4","0","4","7","None of the above","NOT","NOTA","4010","NULL","1102410","1752748","SOUTH DELHI","GEN","","19","62.90","0.36","yes","1169","0.11","2.94","","","5897","TRUE","","","","","","","","","FALSE","FALSE","",""
"GE","Delhi","16","7","2014","4","0","4","8","Shahid","M","IND","2841","GEN","1102410","1752748","SOUTH DELHI","GEN","","19","62.90","0.26","yes","1201","0.11","2.94","GEDL15401","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","7","2014","4","0","4","9","Sumant Kumar","M","IND","1640","GEN","1102410","1752748","SOUTH DELHI","GEN","","19","62.90","0.15","yes","425","0.04","2.94","GEDL15395","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","7","2014","4","0","4","10","Tej Pal Singh","M","IND","1215","SC","1102410","1752748","SOUTH DELHI","GEN","","19","62.90","0.11","yes","75","0.01","2.94","GEDL15391","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","7","2014","4","0","4","11","Sunil Kumar","M","IND","1140","GEN","1102410","1752748","SOUTH DELHI","GEN","","19","62.90","0.10","yes","69","0.01","2.94","GEDL79948","","10809","TRUE","2","IND","10809","CHANDNI CHOWK","FALSE","TRUE","0","FALSE","FALSE","TRUE","",""
"GE","Delhi","16","7","2014","4","0","4","12","Rakesh Kumar","M","IND","1071","GEN","1102410","1752748","SOUTH DELHI","GEN","","19","62.90","0.10","yes","158","0.01","2.94","GEDL81626","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","7","2014","4","0","4","13","Naresh Kumar Chandaliya","M","IND","913","SC","1102410","1752748","SOUTH DELHI","GEN","","19","62.90","0.08","yes","110","0.01","2.94","GEDL15406","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","7","2014","4","0","4","14","Sreerupa Mitra Chaudhury","F","AITC","803","GEN","1102410","1752748","SOUTH DELHI","GEN","","19","62.90","0.07","yes","242","0.02","2.94","GEDL15404","","18228","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","7","2014","4","0","4","15","Mohan Kanuga","M","JKNPP","561","GEN","1102410","1752748","SOUTH DELHI","GEN","","19","62.90","0.05","yes","1","0.00","2.94","GEDL15402","","4079","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","7","2014","4","0","4","16","Dr. Dusmanta Kumar Giri","M","IND","560","GEN","1102410","1752748","SOUTH DELHI","GEN","","19","62.90","0.05","yes","148","0.01","2.94","GEDL15403","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","7","2014","4","0","4","17","D. K. Chopra","M","IND","412","GEN","1102410","1752748","SOUTH DELHI","GEN","","19","62.90","0.04","yes","55","0.00","2.94","GEDL15392","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","7","2014","4","0","4","18","Hafiz Mustaq","M","JSMP","357","GEN","1102410","1752748","SOUTH DELHI","GEN","","19","62.90","0.03","yes","43","0.00","2.94","GEDL15399","","4144","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","7","2014","4","0","4","19","Kiran Pal Singh","M","IND","314","GEN","1102410","1752748","SOUTH DELHI","GEN","","19","62.90","0.03","yes","11","0.00","2.94","GEDL15394","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","7","2014","4","0","4","20","Cho. Ombir Singh Naughwar","M","BHBP","303","GEN","1102410","1752748","SOUTH DELHI","GEN","","19","62.90","0.03","yes","0","0.00","2.94","GEDL15390","","1365","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""